Unnamed: 0,id,nome_do_alimento,categoria,calorias,proteinas,carboidratos,gorduras,gorduras_saturadas,fibras,colesterol,gorduras_trans,gorduras_monoinsaturadas,gorduras_polinsaturadas
44,45,abobora assado(a),Assado(a),20,0.72,4.9,0.07,0.04,1.1,0,0,0.01,0
45,46,abobora azul queensland descascada fresca assada sem adicao de gordura,No category,58.317464,2.4,9.9,0.4,0.0,3.2,0,0.0,0.0,0.0
46,47,abobora azul queensland descascada fresca crua,No category,49.713248,2.0,8.4,0.3,0.0,2.7,0,0.0,0.0,0.0
47,48,abobora baby abobrinha crua,Vegetables,21.0,2.71,3.11,0.4,0.083,1.1,0.0,0.0,0,169.0
48,49,abobora bolota,Vegetables,40.0,0.8,10.42,0.1,0.021,1.5,0.0,0.0,0,42.0
49,50,abobora bolota assada,Vegetables,56.0,1.12,14.58,0.14,0.029,4.4,0.0,0.0,0,59.0
50,51,abobora bolota cozida,Vegetables,34.0,0.67,8.79,0.08,0.017,2.6,0.0,0.0,0,35.0
51,52,abobora bolota de inverno cozida com sal,Vegetables,56.0,1.12,14.58,0.14,0.029,4.4,0.0,0.0,0,59.0
52,53,abobora botao fresca crua,No category,26.29066,2.7,3.2,0.2,0.0,0.5,0,0.0,0.0,0.0
53,54,abobora botao fresco cozido escorrido,No category,31.07078,3.2,3.8,0.2,0.0,0.6,0,0.0,0.0,0.0
54,55,abobora butternut cozida,Vegetables,40.0,0.9,10.49,0.09,0.019,3.2,0.0,0.0,0,38.0
55,56,abobora butternut de inverno congelada cozida fervida com sal,Vegetables,39.0,1.23,10.04,0.07,0.014,0,0.0,0.0,0,29.0
56,57,abobora butternut de inverno congelada sem preparo,Vegetables,57.0,1.76,14.41,0.1,0.021,1.3,0.0,0.0,0,42.0
57,58,abobora butternut descascada fresca assada sem adicao de gordura,No category,53.059332,2.5,8.1,0.7,0.16,2.1,0,0.0,0.02,0.34
58,59,abobora butternut descascada fresca cozida escorrida,No category,47.084182,2.2,7.2,0.6,0.14,1.9,0,0.0,0.02,0.3
59,60,abobora butternut descascada fresca crua,No category,45.172134,2.1,6.9,0.6,0.14,1.8,0,0.0,0.02,0.29
60,61,abobora cabotian cozida,"Verduras, hortaliças e derivados",48.0437425,1.44375,10.7609166666667,0.729333333333333,0.1,2.46266666666667,0,0.712,0.2,0.2
61,62,abobora cabotian crua,"Verduras, hortaliças e derivados",38.5992942028986,1.7463768115942,8.36028985507247,0.536666666666667,0.120333333333333,2.16666666666667,0,0.836666666666667,0.082,0.048666666666667
62,63,abobora com quiabo,No category,21,1.295,4.705,0.14,0.041,1.8,0,0,0.019,0.025
63,64,abobora cozida,Vegetables,20.0,0.91,4.31,0.31,0.064,1.4,0.0,0.0,0,131.0
64,65,abobora cozida cozida escorrida com sal,Vegetables,18.0,0.72,4.31,0.07,0.037,1.1,0.0,0.0,0,4.0
65,66,abobora cozida indiana cozida (navajo),American Indian,16.0,0.31,3.22,0.15,0,1.5,0,0,0,0
66,67,abobora cozido(a),Cozido(a),20,0.72,4.9,0.07,0.04,1.1,0,0,0.01,0
67,68,abobora crookneck cozida,Vegetables,19.0,1.04,3.79,0.39,0.064,1.1,0.0,0.0,0,131.0
68,69,abobora crookneck summer,Vegetables,19.0,1.01,3.88,0.27,0.093,1.0,0.0,0.0,0,82.0
69,70,abobora cru(a),Cru(a),20,0.72,4.9,0.07,0.04,1.1,0,0,0.01,0
70,71,abobora crua,Vegetables,26.0,1.0,6.5,0.1,0.052,0.5,0.0,0.0,0,5.0
71,72,abobora de inverno,Vegetables,34.0,0.95,8.59,0.13,0.027,1.5,0.0,0.0,0,56.0
72,73,abobora de milho ensopado de carneiro (navajo),American Indian,103.0,8.62,7.27,4.34,1.735,1.7,43.0,0,0,383.0
73,74,abobora de verao abobrinha estilo italiano enlatado,Vegetables,29.0,1.03,6.85,0.11,0.023,0,0.0,0.0,0,47.0
74,75,abobora de verao crookneck e straightneck congelado cozido cozido escorrido com sal,Vegetables,25.0,1.28,5.54,0.2,0.04,1.4,0.0,0.0,0,82.0
75,76,abobora de verao crookneck e straightneck congelado cozido cozido escorrido sem sal,Vegetables,25.0,1.28,5.54,0.2,0.04,1.4,0.0,0.0,0,82.0
76,77,abobora de verao crookneck e straightneck cozido cozido escorrido com sal,Vegetables,19.0,1.04,3.79,0.39,0.064,1.1,0.0,0.0,0,131.0
77,78,abobora de verao crookneck e straightneck enlatado drenado solido sem sal,Vegetables,13.0,0.61,2.96,0.07,0.015,1.4,0.0,0.0,0,31.0
78,79,abobora descascada fresca assada sem adicao de gordura,No category,40.63102,1.5,7.9,0.0,0.0,2.2,0,0.0,0.0,0.0
79,80,abobora descascada fresca cozida escorrida,No category,35.8509,1.3,7.0,0.0,0.0,2.0,0,0.0,0.0,0.0
80,81,abobora descascada fresca crua,No category,34.416864,1.2,6.7,0.0,0.0,1.9,0,0.0,0.0,0.0
81,82,abobora enlatada,Vegetables,34.0,1.1,8.09,0.28,0.146,2.9,0.0,0.0,0,15.0
82,83,abobora enlatada com sal,Vegetables,34.0,1.1,8.09,0.28,0.146,2.9,0.0,0.0,0,15.0
83,84,abobora ensopado,Ensopado,36.39,0.72,4.9,1.92,0.3,1.1,0,0,0.44,1.08
84,85,abobora espaguete cozida,Vegetables,27.0,0.66,6.46,0.26,0.062,1.4,0.0,0.0,0,126.0
85,86,abobora espaguete de inverno cozido cozido escorrido ou assado com sal,Vegetables,27.0,0.66,6.46,0.26,0.062,1.4,0.0,0.0,0,126.0
86,87,abobora frito(a),Frito(a),36.39,0.72,4.9,1.92,0.3,1.1,0,0,0.44,1.08
87,88,abobora hubbard,Vegetables,40.0,2.0,8.7,0.5,0.103,3.9,0.0,0.0,0,210.0
88,89,abobora hubbard cozida,Vegetables,50.0,2.48,10.81,0.62,0.128,4.9,0.0,0.0,0,260.0
89,90,abobora inverno bolota cozida amassada com sal,Vegetables,34.0,0.67,8.79,0.08,0.017,2.6,0.0,0.0,0,35.0
90,91,abobora inverno todas as variedades cozida assada com sal,Vegetables,37.0,0.89,8.85,0.35,0.072,2.8,0.0,0.0,0,147.0
91,92,abobora jarrahdale descascada fresca assada sem adicao de gordura,No category,31.548792,0.8,6.1,0.1,0.0,1.9,0,0.0,0.0,0.0
92,93,abobora jarrahdale descascada fresca cozida escorrida,No category,27.724696,0.7,5.4,0.1,0.0,1.7,0,0.0,0.0,0.0
93,94,abobora jarrahdale descascada fresca crua,No category,26.768672,0.7,5.2,0.1,0.0,1.6,0,0.0,0.0,0.0
94,95,abobora menina brasileira crua,"Verduras, hortaliças e derivados",13.6056739130435,0.608695652173913,3.30130434782609,Tr,0,1.17,0,0.36,0,0
95,96,abobora molho vermelho,Molho vermelho,20.8,0.84,4.996,0.092,0.035,1.18,0,0,0.013,0.018
96,97,abobora moranga crua,"Verduras, hortaliças e derivados",12.364436231884,0.960144927536232,2.66652173913043,0.06,0,1.70333333333333,0,0.443333333333333,0,0
97,98,abobora moranga refogada,"Verduras, hortaliças e derivados",29.0038220317562,0.39375,5.98191666666666,0.799,0.12,1.54666666666667,0,0.368,0.191333333333333,0.447
98,99,abobora pepita de ouro descascada fresca cozida sem gordura adicionada,No category,34.894876,2.6,4.7,0.4,0.0,1.3,0,0.0,0.0,0.0
99,100,abobora pepita dourada descascada fresca cozida escorrida,No category,30.831774,2.3,4.2,0.3,0.0,1.1,0,0.0,0.0,0.0
100,101,abobora pepita dourada descascada fresca crua,No category,29.636744,2.2,4.0,0.3,0.0,1.1,0,0.0,0.0,0.0
101,102,abobora pescoco crua,"Verduras, hortaliças e derivados",24.4662679497004,0.670833333333333,6.12283333333334,0.116,0,2.30033333333333,0,0.597333333333333,0,0
102,103,abobora queensland blue descascada fresca cozida escorrida,No category,51.625296,2.1,8.8,0.3,0.0,2.8,0,0.0,0.0,0.0
103,104,abobora refogado(a),Refogado(a),36.39,0.72,4.9,1.92,0.3,1.1,0,0,0.44,1.08
104,105,abobora sopa,Sopa,31.443,0.948,7.012,0.123,0.039,0.711,0,0,0.027,0.032
105,106,abobora verao todas as variedades cozida cozida escorrida com sal,Vegetables,20.0,0.91,4.31,0.31,0.064,1.4,0.0,0.0,0,131.0
106,107,abobora vieira,Vegetables,18.0,1.2,3.84,0.2,0.041,1.2,0.0,0.0,0,84.0
107,108,abobora vieira cozida,Vegetables,16.0,1.03,3.3,0.17,0.035,1.9,0.0,0.0,0,72.0
108,109,abobora vieira cozida cozida escorrida com sal,Vegetables,16.0,1.03,3.3,0.17,0.035,1.9,0.0,0.0,0,72.0
109,110,abobora vieira fresca cozida escorrida,No category,23.9006,2.6,2.5,0.2,0.0,0.6,0,0.0,0.0,0.0
110,111,abobora vieira fresca crua,No category,20.076504,2.2,2.1,0.2,0.0,0.5,0,0.0,0.0,0.0
111,112,abobora winter butternut congelado cozido fervido sem sal,Vegetables,39.0,1.23,10.05,0.07,0.014,0,0.0,0.0,0,29.0
112,113,abobora winter butternut cozida assada com sal,Vegetables,40.0,0.9,10.49,0.09,0.019,3.2,0.0,0.0,0,38.0
113,114,abobora winter hubbard assada com sal,Vegetables,50.0,2.48,10.81,0.62,0.128,4.9,0.0,0.0,0,260.0
114,115,abobora winter hubbard cozido fervido pure com sal,Vegetables,30.0,1.48,6.46,0.37,0.076,2.9,0.0,0.0,0,156.0
115,116,abobora winter hubbard cozido fervido pure sem sal,Vegetables,30.0,1.48,6.46,0.37,0.076,2.9,0.0,0.0,0,156.0
116,117,abobrinha,Vegetables,16.0,1.21,3.35,0.18,0.044,1.1,0.0,0.0,0,89.0
117,118,abobrinha assado(a),Assado(a),20,0.91,4.31,0.31,0.06,1.4,0,0,0.02,0.13
118,119,abobrinha casca verde fresca com casca cozida escorrida,No category,18.403462,1.1,2.0,0.4,0.0,1.3,0,0.0,0.0,0.0
119,120,abobrinha casca verde fresca com casca crua,No category,15.53539,0.9,1.7,0.3,0.0,1.1,0,0.0,0.0,0.0
120,121,abobrinha casca verde fresca com casca frita sem gordura adicionada,No category,21.988552,1.3,2.4,0.4,0.0,1.6,0,0.0,0.0,0.0
121,122,abobrinha cozida,Vegetables,15.0,1.14,2.69,0.36,0.072,1.0,0.0,0.0,0,151.0
122,123,abobrinha cozido(a),Cozido(a),20,0.91,4.31,0.31,0.06,1.4,0,0,0.02,0.13
123,124,abobrinha cru(a),Cru(a),16,1.21,3.35,0.18,0.04,1.1,0,0,0.02,0.09
124,125,abobrinha de verao de abobora inclui pele congelada sem preparo,Vegetables,17.0,1.16,3.58,0.13,0.027,1.3,0.0,0.0,0,56.0
125,126,abobrinha de verao inclui pele congelada cozida cozida escorrida com sal,Vegetables,14.0,1.15,2.97,0.13,0.027,1.3,0.0,0.0,0,55.0
126,127,abobrinha de verao inclui pele congelada cozida escorrida sem sal,Vegetables,17.0,1.15,3.56,0.13,0.027,1.3,0.0,0.0,0,55.0
127,128,abobrinha de verao inclui pele cozida escorrida com sal,Vegetables,15.0,1.14,2.69,0.36,0.072,1.0,0.0,0.0,0,151.0
128,129,abobrinha dourada fresca com casca cozida escorrida,No category,22.227558,2.6,1.3,0.4,0.0,1.2,0,0.0,0.0,0.0
129,130,abobrinha dourada fresca com casca crua,No category,18.642468,2.2,1.1,0.3,0.0,1.0,0,0.0,0.0,0.0
130,131,abobrinha dourada fresca com casca frita sem gordura adicionada,No category,26.529666,3.1,1.6,0.4,0.0,1.4,0,0.0,0.0,0.0
131,132,abobrinha empanado(a)/a milanesa,Empanado(a)/à milanesa,160.71,4.35,16.01,8.92,1.67,1.56,52.96,0,2.24,4.32
132,133,abobrinha ensopado,Ensopado,42.3,0.91,4.31,2.83,0.43,1.4,0,0,0.61,1.59
133,134,abobrinha frito(a),Frito(a),42.3,0.91,4.31,2.83,0.43,1.4,0,0,0.61,1.59
134,135,abobrinha grelhado(a)/brasa/churrasco,Grelhado(a)/brasa/churrasco,20,0.91,4.31,0.31,0.06,1.4,0,0,0.02,0.13
135,136,abobrinha italiana cozida,"Verduras, hortaliças e derivados",15.03852,1.125,2.97700000000001,0.199,0.1,1.588,0,0.416666666666667,Tr,0.1
136,137,abobrinha italiana crua,"Verduras, hortaliças e derivados",19.2791260869565,1.14130434782609,4.29202898550724,0.14,0,1.35333333333333,0,0.563333333333333,0,0
137,138,abobrinha italiana refogada,"Verduras, hortaliças e derivados",24.4296021876534,1.06875,4.18691666666666,0.821333333333333,0.133333333333333,1.38,0,0.431333333333333,0.180666666666667,0.460666666666667
138,139,abobrinha paulista crua,"Verduras, hortaliças e derivados",30.8107022288163,0.639583333333333,7.86742,0.139,0,2.605,0,0.50333,0,0
139,140,abobrinha refogado(a),Refogado(a),42.3,0.91,4.31,2.83,0.43,1.4,0,0,0.61,1.59
140,141,abyuch,Fruits,69.0,1.5,17.6,0.1,0.014,5.3,0,0.0,0,0
141,142,acafrao,Spices and Herbs,310.0,11.43,65.37,5.85,1.586,3.9,0.0,0.0,0,2067.0
142,143,acafrao cru(a),Cru(a),310,11.43,65.37,5.85,1.586,3.9,0,0,0.429,2.067
143,144,acafrao moido,Spices and Herbs,312.0,9.68,67.14,3.25,1.838,22.7,0.0,0.056,0,756.0
144,145,acafrao seco moido,No category,291.348314,9.7,44.4,3.2,1.88,22.7,0,0.0,0.46,0.77
145,146,acai,No category,262,3.6,57.4,2,0,5.92,0,0,0,0
146,147,acai com granola,No category,110,0.7,21.5,3.7,0.7,1.7,0,0,1.9,0.3
147,148,acai polpa com xarope de guarana e glucose,Frutas e derivados,110.29759,0.720833333333333,21.4551666666667,3.66033333333333,0.7,1.72333333333333,0,0.285,1.9,0.3
148,149,acai polpa congelada,Frutas e derivados,58.0453688728213,0.797916666666667,6.20841666666667,3.94433333333333,0.731333333333333,2.55333333333333,0,0.349,2.014,0.377
149,150,acaja (tabereba),No category,46,1.3,11.4,0,0,2.6,0,0,0,0
150,151,acaraje,Alimentos preparados,289.211666666667,8.34583333333334,19.1138333333333,19.9303333333333,9.1,9.35833333333333,25.4643333333333,2.146,7.8,2.1
151,152,acelga,Vegetables,19.0,1.8,3.74,0.2,0.03,1.6,0.0,0.0,0,70.0
152,153,acelga cozida,Vegetables,20.0,1.88,4.13,0.08,0.012,2.1,0.0,0.0,0,28.0
153,154,acelga cozida suica cozida escorrida com sal,Vegetables,20.0,1.88,4.13,0.08,0,2.1,0.0,0.0,0,0
154,155,acelga cozido(a),Cozido(a),14,1.5,2.41,0.17,0.036,1.7,0,0,0.02,0.061
155,156,acelga cru(a),Cru(a),19,1.8,3.74,0.2,0.03,1.6,0,0,0.04,0.07
156,157,acelga crua,"Verduras, hortaliças e derivados",20.9423424999999,1.44375,4.63091666666666,0.106,0,1.122,0,0.633666666666667,0,0
157,158,acelga refogado(a),Refogado(a),47.738,1.5,2.41,3.987,0.633,1.7,0,0,0.89,2.265
158,159,acem assado(a),Assado(a),242,24.22,0,15.42,5.738,0,75,0,7.002,0.613
159,160,acem cozido(a),Cozido(a),242,24.22,0,15.42,5.738,0,75,0,7.002,0.613
160,161,acem empanado(a)/a milanesa,Empanado(a)/à milanesa,280.837,24.679,3.392,18.027,6.146,0.135,75,0,7.59,2.111
161,162,acem ensopado,Ensopado,264.659,24.22,0,17.983,6.139,0,75,0,7.586,2.093
162,163,acem frito(a),Frito(a),264.659,24.22,0,17.983,6.139,0,75,0,7.586,2.093
163,164,acem refogado(a),Refogado(a),264.659,24.22,0,17.983,6.139,0,75,0,7.586,2.093
164,165,acerola,No category,32,0.4,7.69,0.3,0.07,1.1,0,0,0.08,0.09
165,166,acerola cherries (cereja das indias ocidentais),Fruits,32.0,0.4,7.69,0.3,0.068,1.1,0.0,0.0,0,90.0
166,167,acerola crua,Frutas e derivados,33.46227,0.90625,7.96641666666667,0.207666666666667,0,1.51133333333333,0,0.389,0,0
167,168,acerola organica,No category,32,0.4,7.69,0.3,0.07,1.1,0,0,0.08,0.09
168,169,acerola polpa congelada,Frutas e derivados,21.9368,0.591666666666667,5.54133333333333,Tr,0,0.703333333333333,0,0.257333333333333,0,0
169,170,achocolatado,No category,520.555068,7.6,56.0,30.5,18.76,2.3,21,158.46,9.4,0.83
170,171,achocolatado em po,No category,400,4.55,90.28,2.27,2.27,4.5,0,0,0,0
171,172,achocolatado em po diet,No category,337.701,29.424,55.299,2.391,1.437,4.427,7.158,0,0.764,0.08
172,173,achocolatado em po light,No category,337.701,29.424,55.299,2.391,1.437,4.427,7.158,0,0.764,0.08
173,174,achocolatado po,Produtos açucarados,401.02,4.20333333333333,91.1766666666667,2.16666666666667,1.1,3.89,Tr,1.35,0.6,0.3
174,175,acucar,Sweets,387.0,0.0,99.98,0.0,0.0,0.0,0.0,0,0,0.0
175,176,acucar branco glace,No category,382.4096,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0
176,177,acucar branco granulado ou caroco,No category,382.4096,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0
177,178,acucar branco mistura de glace,No category,381.931588,0.0,99.6,0.0,0.0,0.0,0,0.0,0.0,0.0
178,179,acucar cristal,Produtos açucarados,386.845724,0.32,99.61,Tr,0,0,0,Tr,0,0
179,180,acucar cru,No category,381.692582,0.0,99.8,0.0,0.0,0.0,0,0.0,0.0,0.0
180,181,acucar light,No category,400,0,100,0,0,0,0,0,0,0
181,182,acucar mascavo,Produtos açucarados,368.554822524389,0.758333333333333,94.45,0.092,0,0,0,1.37566666666667,0,0
182,183,acucar reduzido para creme de amendoim,Beans and Lentils,650.0,24.8,14.23,54.89,10.22,7.8,0.0,0.16,0,16266.0
183,184,acucar refinado,Produtos açucarados,386.574824,0.32,99.54,Tr,0,0,0,Tr,0,0
184,185,acucares em po,Sweets,389.0,0.0,99.77,0.0,0.0,0.0,0.0,0,0,0.0
185,186,acucares marrons,Sweets,380.0,0.12,98.09,0.0,0.0,0.0,0.0,0,0,0.0
186,187,ades light,No category,39.37,1.985,6.178,0.823,0.119,0.551,0,0,0.182,0.465
187,188,ades original,No category,54,3.27,6.28,1.75,0.205,0.6,0,0,0.401,0.961
188,189,adocante artificial,No category,0,0,0,0,0,0,0,0,0,0
189,190,adocante em po light,No category,365,2.17,89.08,0,0,0,0,0,0,0
190,191,adocante extrato de ervas em po da folha de stevia,Sweets,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0
191,192,adocante light,No category,365,2.17,89.08,0,0,0,0,0,0,0
192,193,adocante liquido light,No category,0,0,0,0,0,0,0,0,0,0
193,194,adocante xarope agave,Sweets,310.0,0.09,76.37,0.45,0.0,0.2,0.0,0,0,0.0
194,195,adocantes de mesa aspartame em embalagens iguais,Sweets,365.0,2.17,89.08,0.0,0.0,0.0,0.0,0,0,0.0
195,196,adocantes de mesa frutose em po seco,Sweets,368.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0
196,197,adocantes de mesa sacarina (sodium saccharin),Sweets,360.0,0.94,89.11,0.0,0.0,0.0,0.0,0,0,0.0
197,198,adocantes de mesa sucralose splenda saquinhos,Sweets,336.0,0.0,91.17,0.0,0.0,0.0,0.0,0,0,0.0
198,199,adocantes liquido de frutose de mesa,Sweets,279.0,0.0,76.1,0.0,0.0,0.1,0.0,0,0,0.0
199,200,adocantes para assar marrom contem acucar e sucralose,Sweets,388.0,0.0,97.11,0.0,0,0,0,0,0,0
200,201,adocantes para panificacao contem acucar e sucralose,Sweets,398.0,0.0,99.53,0.0,0,0,0,0,0,0
201,202,adocantes substituto do acucar granulado marrom,Sweets,347.0,2.06,84.77,0.0,0,0.6,0,0,0,0
202,203,agar de algas marinhas cru,Vegetables,26.0,0.54,6.75,0.03,0.006,0.5,0.0,0.0,0,10.0
203,204,agave cozido (sudoeste),American Indian,135.0,0.99,32.0,0.29,0,10.6,0.0,0,0,0
204,205,agave raw (sudoeste),American Indian,68.0,0.52,16.23,0.15,0,6.6,0.0,0,0,0
205,206,agave seco (sudoeste),American Indian,341.0,1.71,81.98,0.69,0,15.6,0.0,0,0,0
206,207,agentes de fermentacao bicarbonato de sodio,Baked Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
207,208,agentes de fermentacao fermento em po com baixo teor de sodio,Baked Foods,97.0,0.1,46.9,0.4,0.073,2.2,0.0,0,0,121.0
208,209,agentes de fermentacao fermento em po sulfato de aluminio e sodio de dupla acao,Baked Foods,53.0,0.0,27.7,0.0,0.0,0.2,0.0,0,0,0.0
209,210,agentes de fermentacao fermento para padeiros ativo seco,Baked Foods,325.0,40.44,41.22,7.61,1.001,26.9,0.0,0,0,17.0
210,211,agentes de fermentacao fermento para padeiros comprimido,Baked Foods,105.0,8.4,18.1,1.9,0.243,8.1,0.0,0,0,4.0
211,212,agentes levedantes creme tartaro,Baked Foods,258.0,0.0,61.5,0.0,0.0,0.2,0.0,0,0,0.0
212,213,agriao,Vegetables,11.0,2.3,1.29,0.1,0.027,0.5,0.0,0.0,0,35.0
213,214,agriao ao vinagrete,Ao vinagrete,11,2.3,1.29,0.1,0.027,0.5,0,0,0.008,0.035
214,215,agriao cozido,Vegetables,23.0,1.9,3.8,0.6,0.02,0.7,0.0,0.0,0,196.0
215,216,agriao cozido cozido escorrido com sal,Vegetables,23.0,1.9,3.8,0.6,0.02,0.7,0.0,0.0,0,196.0
216,217,agriao cozido(a),Cozido(a),11,2.3,1.29,0.1,0.027,0.5,0,0,0.008,0.035
217,218,agriao cru,"Verduras, hortaliças e derivados",16.5788014492753,2.68840579710145,2.25159420289854,0.236666666666667,0,2.13666666666667,0,0.88,0,0
218,219,agriao cru(a),Cru(a),25,2.58,3.65,0.66,0.09,1.6,0,0,0.05,0.32
219,220,agriao de jardim,Vegetables,32.0,2.6,5.5,0.7,0.023,1.1,0.0,0.0,0,228.0
220,221,agriao ensopado,Ensopado,35.75,2.329,1.292,2.9,1.8,0.5,7.422,0,0.734,0.14
221,222,agua coco comercial,No category,12.906324,0.2,3.2,0.0,0.0,0.0,0,0.0,0.0,0.0
222,223,agua com xarope de milho e/ou acucar e adocante de baixa caloria com sabor de frutas,Beverages,18.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0
